kode,species,cluster
2016-10-08_133018,P.glauca,2
2016-10-09_133018,P.glauca,2
2016-10-10_133018,P.glauca,2
2016-10-11_133018,P.glauca,4
2016-10-12_133018,P.glauca,5
2016-10-13_133018,P.glauca,5
2016-10-15_133018,P.glauca,5
2016-10-16_133018,P.glauca,5
2016-10-18_133018,P.glauca,5
2016-10-19_133018,P.glauca,5
2016-10-20_133018,P.glauca,4
2016-10-23_133018,P.glauca,5
2016-10-24_133018,P.glauca,5
2016-10-27_133018,P.glauca,4
2016-10-28_133018,P.glauca,4
2016-10-29_133018,P.glauca,4
2016-10-30_133018,P.glauca,4
2016-10-31_133018,P.glauca,4
2016-10-01_133021,P.glauca,3
2016-10-03_133021,P.glauca,4
2016-10-04_133021,P.glauca,3
2016-10-05_133021,P.glauca,3
2016-10-07_133021,P.glauca,2
2016-10-11_133021,P.glauca,2
2016-10-16_133021,P.glauca,4
2016-10-17_133021,P.glauca,3
2016-10-18_133021,P.glauca,2
2016-10-22_133021,P.glauca,3
2016-10-23_133021,P.glauca,3
2016-10-24_133021,P.glauca,2
2016-10-29_133021,P.glauca,2
2016-10-30_133021,P.glauca,3
2016-10-31_133021,P.glauca,2
2016-10-08_141255,P.glauca,2
2016-10-11_141255,P.glauca,2
2016-10-15_141255,P.glauca,4
2016-10-22_141255,P.glauca,4
2016-10-23_141255,P.glauca,3
2016-10-25_141255,P.glauca,5
2016-10-29_141255,P.glauca,5
2016-10-30_141255,P.glauca,5
2016-10-31_141255,P.glauca,5
2016-11-01_106754,P.glauca,2
2016-11-02_106754,P.glauca,2
2016-11-03_106754,P.glauca,2
2016-11-05_106754,P.glauca,2
2016-11-08_106754,P.glauca,2
2016-11-10_106754,P.glauca,2
2016-11-13_106754,P.glauca,2
2016-11-14_106754,P.glauca,2
2016-11-15_106754,P.glauca,2
2016-11-18_106754,P.glauca,5
2016-11-21_106754,P.glauca,2
2016-11-22_106754,P.glauca,2
2016-11-23_106754,P.glauca,2
2016-11-25_106754,P.glauca,2
2016-11-26_106754,P.glauca,2
2016-11-27_106754,P.glauca,2
2016-11-28_106754,P.glauca,1
2016-11-29_106754,P.glauca,5
2016-11-30_106754,P.glauca,2
2016-11-02_133016,P.glauca,1
2016-11-05_133016,P.glauca,1
2016-11-01_133017,P.glauca,2
2016-11-02_133017,P.glauca,2
2016-11-03_133017,P.glauca,2
2016-11-24_133017,P.glauca,3
2016-11-25_133017,P.glauca,2
2016-11-28_133017,P.glauca,2
2016-11-29_133017,P.glauca,2
