ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
"141257",2015/11/12 00:00:00.000,I.oxyrinchus,2015/11/12 00:00:00.000,-4588.899902343750000,40.408072081312397,-63.943956366808600,199252.061775042413501,"1"
"141257",2015/11/13 00:00:00.000,I.oxyrinchus,2015/11/13 00:00:00.000,-4789.347473144531250,40.011441258639501,-63.919232074025402,227495.705621389963198,"1"
"141257",2015/11/14 00:00:00.000,I.oxyrinchus,2015/11/14 00:00:00.000,-4882.850097656250000,39.658937776577297,-64.114908444689505,241542.818287698406493,"1"
"141257",2015/11/15 00:00:00.000,I.oxyrinchus,2015/11/15 00:00:00.000,-4795.059331597221899,39.953030817319799,-64.092559690129207,221149.917955475801136,"1"
"141257",2015/11/17 00:00:00.000,I.oxyrinchus,2015/11/17 00:00:00.000,-4826.742553710937500,39.785136619375002,-64.311269958014805,219660.544505837082397,"1"
"141257",2015/11/19 00:00:00.000,I.oxyrinchus,2015/11/19 00:00:00.000,-4375.044921875000000,40.146137106819999,-65.128546737090900,139905.479953474976355,"2"
"141257",2015/11/20 00:00:00.000,I.oxyrinchus,2015/11/20 00:00:00.000,-4433.022583007812500,40.412438589586202,-64.744837887282998,145823.293710649653804,"1"
"141257",2015/11/21 00:00:00.000,I.oxyrinchus,2015/11/21 00:00:00.000,-4564.000000000000000,40.277874705232399,-64.679525650219304,160541.197707530373009,"1"
"141257",2015/11/22 00:00:00.000,I.oxyrinchus,2015/11/22 00:00:00.000,-4525.299804687500000,39.912971795640701,-65.140955100470606,156025.875850061362144,"1"
"141257",2015/11/25 00:00:00.000,I.oxyrinchus,2015/11/25 00:00:00.000,-4370.892456054687500,40.393840524651502,-64.848946635065303,141359.669896555977175,"1"
"141259",2015/11/02 00:00:00.000,P.glauca,2015/11/02 00:00:00.000,-4831.970214843750000,41.228106110825301,-60.183001512050801,218181.582629307697061,"2"
"141259",2015/11/03 00:00:00.000,P.glauca,2015/11/03 00:00:00.000,-4569.600097656250000,42.069393157413202,-59.648412652049203,147689.789716491417494,"2"
"141259",2015/11/04 00:00:00.000,P.glauca,2015/11/04 00:00:00.000,-4911.509765625000000,41.648452080082798,-58.538613466488201,224304.622463801730191,"2"
"141259",2015/11/05 00:00:00.000,P.glauca,2015/11/05 00:00:00.000,-5086.509765625000000,40.765947929085002,-57.678155942188504,339848.496050470275804,"2"
"141259",2015/11/06 00:00:00.000,P.glauca,2015/11/06 00:00:00.000,-5172.970214843750000,40.374369618236699,-57.300512450556603,392025.493231356318574,"2"
"141259",2015/11/08 00:00:00.000,P.glauca,2015/11/08 00:00:00.000,-5096.643229166666970,40.758577264070503,-55.271471480569907,395111.224671920470428,"2"
"141259",2015/11/10 00:00:00.000,P.glauca,2015/11/10 00:00:00.000,-5236.876708984375000,39.751296223953503,-53.625753142358803,403552.629684865882155,"1"
