ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
141257,2015/12/15 00:00:00,I.oxyrinchus,2015/12/15 00:00:00,-4888.98698849953,36.6780981437377,-60.4133491347783,694464.854249712,5
141257,2015/12/16 00:00:00,I.oxyrinchus,2015/12/16 00:00:00,-4891.8080506517,36.4550287280025,-60.109911493791,723719.23667002,5
141257,2015/12/17 00:00:00,I.oxyrinchus,2015/12/17 00:00:00,-4888.44009779778,36.3154797386344,-59.9273053751809,742143.604124002,5
141257,2015/12/18 00:00:00,I.oxyrinchus,2015/12/18 00:00:00,-4890.84230511924,36.2884288407364,-59.9068054712032,745460.777435596,5
141257,2015/12/19 00:00:00,I.oxyrinchus,2015/12/19 00:00:00,-4890.45712725847,36.4024728985597,-60.089686474113,729790.028275489,5
141257,2015/12/20 00:00:00,I.oxyrinchus,2015/12/20 00:00:00,-4892.4594155336,36.6853596748493,-60.5172230761655,691942.96565416,5
141257,2015/12/21 00:00:00,I.oxyrinchus,2015/12/21 00:00:00,-4868.00077449914,37.163406661748,-61.230689969616,613236.509175015,5
141257,2015/12/22 00:00:00,I.oxyrinchus,2015/12/22 00:00:00,-4736.24211814187,37.8607980310207,-62.2713618467196,493312.043262865,5
141257,2015/12/24 00:00:00,I.oxyrinchus,2015/12/24 00:00:00,-4989.8701171875,39.1316591471151,-63.20858513943,339116.77266711,4
141257,2015/12/25 00:00:00,I.oxyrinchus,2015/12/25 00:00:00,-4934.82676866319,39.5618843348054,-63.7871187095408,270569.364837692,4
141257,2015/12/26 00:00:00,I.oxyrinchus,2015/12/26 00:00:00,-4740.0048828125,39.777376080176,-64.6707753410493,195988.772080697,4
141257,2015/12/28 00:00:00,I.oxyrinchus,2015/12/28 00:00:00,-3847.44865993924,39.7714183811349,-66.2213559112991,105805.486425927,5
141259,2015/12/04 00:00:00,P.glauca,2015/12/04 00:00:00,-3785.6298828125,40.3801213423821,-48.5660498374352,285952.523712512,2
141259,2015/12/05 00:00:00,P.glauca,2015/12/05 00:00:00,-4182.86010742188,40.1579717890711,-48.4005842151121,314018.293450337,2
141259,2015/12/06 00:00:00,P.glauca,2015/12/06 00:00:00,-5398.9599609375,39.6747525718468,-48.1105578555957,373024.159177071,2
141259,2015/12/08 00:00:00,P.glauca,2015/12/08 00:00:00,-5410.35986328125,38.9643343231338,-48.8110744572455,431683.872801603,2
141259,2015/12/10 00:00:00,P.glauca,2015/12/10 00:00:00,-5374.91015625,38.2612701110627,-47.984892755705,525089.084803498,2
141259,2015/12/11 00:00:00,P.glauca,2015/12/11 00:00:00,-5297.31982421875,37.7895678351663,-47.3765646130667,591394.586214619,2
141259,2015/12/13 00:00:00,P.glauca,2015/12/13 00:00:00,-5202.81005859375,36.7656982281309,-46.7194095574672,718124.834674794,4
141259,2015/12/14 00:00:00,P.glauca,2015/12/14 00:00:00,-5065.10986328125,36.14924312612,-46.7402926399588,781951.356983506,3
141259,2015/12/15 00:00:00,P.glauca,2015/12/15 00:00:00,-5146.97021484375,35.5333905350846,-46.9896069597348,840539.282759358,3
141259,2015/12/16 00:00:00,P.glauca,2015/12/16 00:00:00,-5024.84008789062,35.0184614414245,-47.3550716095933,887584.972422359,3
141259,2015/12/17 00:00:00,P.glauca,2015/12/17 00:00:00,-4755.25,34.4487717595412,-47.3638589828515,949095.434623042,4
141259,2015/12/19 00:00:00,P.glauca,2015/12/19 00:00:00,-4841.06005859375,33.2032820536812,-46.9489604702938,1092247.01211331,4
141259,2015/12/24 00:00:00,P.glauca,2015/12/24 00:00:00,-4088.9150390625,31.2263609036891,-46.3066045582475,1319371.69107425,4
141259,2015/12/26 00:00:00,P.glauca,2015/12/26 00:00:00,-4313.78002929688,30.2882429653917,-46.2538210431228,1422097.1698013,4
141254,2016/01/01 00:00:00,P.glauca,2016/01/01 00:00:00,-5232.94777560764,39.375,-57.875,480044.783528402,5
141254,2016/01/02 00:00:00,P.glauca,2016/01/02 00:00:00,-5226.33000202922,39.125,-58.125,498401.149834881,5
141254,2016/01/03 00:00:00,P.glauca,2016/01/03 00:00:00,-5236.73529052734,39,-57.875,518790.612193251,5
141254,2016/01/04 00:00:00,P.glauca,2016/01/04 00:00:00,-5224.80072354403,39.1,-58.125,501026.159984279,5
